# BEGIN PLOT
Legend=1
LogY=1
GofLegend=1
LegendAlign=r
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+1%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+2%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+3%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+4%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+5%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+6%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+7%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+8%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+9%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+10%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+20%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+30%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+40%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+50%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+60%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+70%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+80%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+90%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+100%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-1%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-2%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-3%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-4%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-5%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-6%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-7%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-8%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-9%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-10%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-20%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-30%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-40%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-50%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-60%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-70%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-80%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-90%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-100%.yoda/MyZAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+1%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+2%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+3%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+4%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+5%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+6%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+7%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+8%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+9%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+10%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+20%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+30%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+40%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+50%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+60%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+70%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+80%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+90%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+100%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-1%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-2%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-3%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-4%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-5%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-6%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-7%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-8%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-9%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-10%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-20%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-30%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-40%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-50%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-60%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-70%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-80%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-90%.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc-100%.yoda/MyZAnalysis/Z_phi
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
ScaledBy=3.03970174053800430e-04
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.632632e-01	2.463350e-03	2.463350e-03
6.283185e-02	1.256637e-01	1.586797e-01	2.429018e-03	2.429018e-03
1.256637e-01	1.884956e-01	1.577853e-01	2.419450e-03	2.419450e-03
1.884956e-01	2.513274e-01	1.545216e-01	2.395846e-03	2.395846e-03
2.513274e-01	3.141593e-01	1.562232e-01	2.405939e-03	2.405939e-03
3.141593e-01	3.769911e-01	1.577257e-01	2.420084e-03	2.420084e-03
3.769911e-01	4.398230e-01	1.583601e-01	2.427887e-03	2.427887e-03
4.398230e-01	5.026548e-01	1.607718e-01	2.445073e-03	2.445073e-03
5.026548e-01	5.654867e-01	1.610244e-01	2.445418e-03	2.445418e-03
5.654867e-01	6.283185e-01	1.610802e-01	2.446234e-03	2.446234e-03
6.283185e-01	6.911504e-01	1.561875e-01	2.409772e-03	2.409772e-03
6.911504e-01	7.539822e-01	1.635689e-01	2.463050e-03	2.463050e-03
7.539822e-01	8.168141e-01	1.623677e-01	2.457777e-03	2.457777e-03
8.168141e-01	8.796459e-01	1.587776e-01	2.431350e-03	2.431350e-03
8.796459e-01	9.424778e-01	1.646081e-01	2.474811e-03	2.474811e-03
9.424778e-01	1.005310e+00	1.614115e-01	2.448100e-03	2.448100e-03
1.005310e+00	1.068142e+00	1.618492e-01	2.452110e-03	2.452110e-03
1.068142e+00	1.130973e+00	1.593167e-01	2.435900e-03	2.435900e-03
1.130973e+00	1.193805e+00	1.630776e-01	2.461933e-03	2.461933e-03
1.193805e+00	1.256637e+00	1.543591e-01	2.397522e-03	2.397522e-03
1.256637e+00	1.319469e+00	1.624190e-01	2.462830e-03	2.462830e-03
1.319469e+00	1.382301e+00	1.652545e-01	2.482038e-03	2.482038e-03
1.382301e+00	1.445133e+00	1.574762e-01	2.421078e-03	2.421078e-03
1.445133e+00	1.507964e+00	1.593744e-01	2.434985e-03	2.434985e-03
1.507964e+00	1.570796e+00	1.589431e-01	2.430651e-03	2.430651e-03
1.570796e+00	1.633628e+00	1.600524e-01	2.440027e-03	2.440027e-03
1.633628e+00	1.696460e+00	1.546764e-01	2.395405e-03	2.395405e-03
1.696460e+00	1.759292e+00	1.549456e-01	2.397965e-03	2.397965e-03
1.759292e+00	1.822124e+00	1.634260e-01	2.466108e-03	2.466108e-03
1.822124e+00	1.884956e+00	1.615677e-01	2.451144e-03	2.451144e-03
1.884956e+00	1.947787e+00	1.541998e-01	2.390992e-03	2.390992e-03
1.947787e+00	2.010619e+00	1.563020e-01	2.409802e-03	2.409802e-03
2.010619e+00	2.073451e+00	1.579505e-01	2.418710e-03	2.418710e-03
2.073451e+00	2.136283e+00	1.579754e-01	2.425235e-03	2.425235e-03
2.136283e+00	2.199115e+00	1.579428e-01	2.423046e-03	2.423046e-03
2.199115e+00	2.261947e+00	1.570233e-01	2.415092e-03	2.415092e-03
2.261947e+00	2.324779e+00	1.584307e-01	2.428600e-03	2.428600e-03
2.324779e+00	2.387610e+00	1.564733e-01	2.412097e-03	2.412097e-03
2.387610e+00	2.450442e+00	1.563118e-01	2.407153e-03	2.407153e-03
2.450442e+00	2.513274e+00	1.578985e-01	2.424824e-03	2.424824e-03
2.513274e+00	2.576106e+00	1.638482e-01	2.467222e-03	2.467222e-03
2.576106e+00	2.638938e+00	1.594234e-01	2.433906e-03	2.433906e-03
2.638938e+00	2.701770e+00	1.583330e-01	2.426451e-03	2.426451e-03
2.701770e+00	2.764602e+00	1.577435e-01	2.419713e-03	2.419713e-03
2.764602e+00	2.827433e+00	1.590455e-01	2.428608e-03	2.428608e-03
2.827433e+00	2.890265e+00	1.586496e-01	2.427530e-03	2.427530e-03
2.890265e+00	2.953097e+00	1.638264e-01	2.471068e-03	2.471068e-03
2.953097e+00	3.015929e+00	1.611421e-01	2.445724e-03	2.445724e-03
3.015929e+00	3.078761e+00	1.556670e-01	2.404144e-03	2.404144e-03
3.078761e+00	3.141593e+00	1.588121e-01	2.430618e-03	2.430618e-03
3.141593e+00	3.204425e+00	1.577905e-01	2.422298e-03	2.422298e-03
3.204425e+00	3.267256e+00	1.614343e-01	2.451353e-03	2.451353e-03
3.267256e+00	3.330088e+00	1.615584e-01	2.450897e-03	2.450897e-03
3.330088e+00	3.392920e+00	1.602266e-01	2.439452e-03	2.439452e-03
3.392920e+00	3.455752e+00	1.588782e-01	2.431241e-03	2.431241e-03
3.455752e+00	3.518584e+00	1.584660e-01	2.427139e-03	2.427139e-03
3.518584e+00	3.581416e+00	1.592367e-01	2.429985e-03	2.429985e-03
3.581416e+00	3.644247e+00	1.598103e-01	2.438712e-03	2.438712e-03
3.644247e+00	3.707079e+00	1.597463e-01	2.436345e-03	2.436345e-03
3.707079e+00	3.769911e+00	1.576141e-01	2.419334e-03	2.419334e-03
3.769911e+00	3.832743e+00	1.586230e-01	2.424858e-03	2.424858e-03
3.832743e+00	3.895575e+00	1.642714e-01	2.469847e-03	2.469847e-03
3.895575e+00	3.958407e+00	1.572261e-01	2.419158e-03	2.419158e-03
3.958407e+00	4.021239e+00	1.616121e-01	2.449484e-03	2.449484e-03
4.021239e+00	4.084070e+00	1.569371e-01	2.414340e-03	2.414340e-03
4.084070e+00	4.146902e+00	1.575116e-01	2.419179e-03	2.419179e-03
4.146902e+00	4.209734e+00	1.556293e-01	2.409054e-03	2.409054e-03
4.209734e+00	4.272566e+00	1.552969e-01	2.403022e-03	2.403022e-03
4.272566e+00	4.335398e+00	1.582919e-01	2.425615e-03	2.425615e-03
4.335398e+00	4.398230e+00	1.564208e-01	2.412864e-03	2.412864e-03
4.398230e+00	4.461062e+00	1.549773e-01	2.398657e-03	2.398657e-03
4.461062e+00	4.523893e+00	1.601517e-01	2.438031e-03	2.438031e-03
4.523893e+00	4.586725e+00	1.630241e-01	2.459753e-03	2.459753e-03
4.586725e+00	4.649557e+00	1.628081e-01	2.459986e-03	2.459986e-03
4.649557e+00	4.712389e+00	1.596632e-01	2.435821e-03	2.435821e-03
4.712389e+00	4.775221e+00	1.586485e-01	2.428971e-03	2.428971e-03
4.775221e+00	4.838053e+00	1.572260e-01	2.419823e-03	2.419823e-03
4.838053e+00	4.900885e+00	1.593584e-01	2.436271e-03	2.436271e-03
4.900885e+00	4.963716e+00	1.578784e-01	2.415991e-03	2.415991e-03
4.963716e+00	5.026548e+00	1.594248e-01	2.431547e-03	2.431547e-03
5.026548e+00	5.089380e+00	1.578887e-01	2.421342e-03	2.421342e-03
5.089380e+00	5.152212e+00	1.581048e-01	2.421207e-03	2.421207e-03
5.152212e+00	5.215044e+00	1.620120e-01	2.454849e-03	2.454849e-03
5.215044e+00	5.277876e+00	1.596183e-01	2.433431e-03	2.433431e-03
5.277876e+00	5.340708e+00	1.553632e-01	2.403042e-03	2.403042e-03
5.340708e+00	5.403539e+00	1.631002e-01	2.465089e-03	2.465089e-03
5.403539e+00	5.466371e+00	1.576660e-01	2.424216e-03	2.424216e-03
5.466371e+00	5.529203e+00	1.556237e-01	2.401002e-03	2.401002e-03
5.529203e+00	5.592035e+00	1.595166e-01	2.437097e-03	2.437097e-03
5.592035e+00	5.654867e+00	1.607339e-01	2.443310e-03	2.443310e-03
5.654867e+00	5.717699e+00	1.617634e-01	2.452413e-03	2.452413e-03
5.717699e+00	5.780530e+00	1.566388e-01	2.416163e-03	2.416163e-03
5.780530e+00	5.843362e+00	1.611787e-01	2.445220e-03	2.445220e-03
5.843362e+00	5.906194e+00	1.605276e-01	2.441706e-03	2.441706e-03
5.906194e+00	5.969026e+00	1.586578e-01	2.432827e-03	2.432827e-03
5.969026e+00	6.031858e+00	1.563717e-01	2.409854e-03	2.409854e-03
6.031858e+00	6.094690e+00	1.573330e-01	2.418670e-03	2.418670e-03
6.094690e+00	6.157522e+00	1.627456e-01	2.459901e-03	2.459901e-03
6.157522e+00	6.220353e+00	1.614011e-01	2.449204e-03	2.449204e-03
6.220353e+00	6.283185e+00	1.594143e-01	2.434183e-03	2.434183e-03
# END HISTO1D


# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+1%.yoda/MyZAnalysis/Z_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc+1%.yoda/MyZAnalysis/Z_phi
ScaledBy=3.03733002359700475e-04
Title=Analysisbgwzc+1\%
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.598250e-01	2.436165e-03	2.436165e-03
6.283185e-02	1.256637e-01	1.628391e-01	2.459182e-03	2.459182e-03
1.256637e-01	1.884956e-01	1.581913e-01	2.423692e-03	2.423692e-03
1.884956e-01	2.513274e-01	1.625416e-01	2.455085e-03	2.455085e-03
2.513274e-01	3.141593e-01	1.594840e-01	2.430948e-03	2.430948e-03
3.141593e-01	3.769911e-01	1.607880e-01	2.441515e-03	2.441515e-03
3.769911e-01	4.398230e-01	1.594559e-01	2.431575e-03	2.431575e-03
4.398230e-01	5.026548e-01	1.591758e-01	2.429553e-03	2.429553e-03
5.026548e-01	5.654867e-01	1.586075e-01	2.429938e-03	2.429938e-03
5.654867e-01	6.283185e-01	1.585348e-01	2.427107e-03	2.427107e-03
6.283185e-01	6.911504e-01	1.602589e-01	2.441982e-03	2.441982e-03
6.911504e-01	7.539822e-01	1.572107e-01	2.411465e-03	2.411465e-03
7.539822e-01	8.168141e-01	1.612100e-01	2.447335e-03	2.447335e-03
8.168141e-01	8.796459e-01	1.527829e-01	2.382847e-03	2.382847e-03
8.796459e-01	9.424778e-01	1.543127e-01	2.394120e-03	2.394120e-03
9.424778e-01	1.005310e+00	1.614733e-01	2.447859e-03	2.447859e-03
1.005310e+00	1.068142e+00	1.573734e-01	2.417353e-03	2.417353e-03
1.068142e+00	1.130973e+00	1.569249e-01	2.414263e-03	2.414263e-03
1.130973e+00	1.193805e+00	1.580988e-01	2.425267e-03	2.425267e-03
1.193805e+00	1.256637e+00	1.616990e-01	2.454659e-03	2.454659e-03
1.256637e+00	1.319469e+00	1.579000e-01	2.424251e-03	2.424251e-03
1.319469e+00	1.382301e+00	1.605354e-01	2.440210e-03	2.440210e-03
1.382301e+00	1.445133e+00	1.630021e-01	2.463618e-03	2.463618e-03
1.445133e+00	1.507964e+00	1.592360e-01	2.433071e-03	2.433071e-03
1.507964e+00	1.570796e+00	1.572480e-01	2.416268e-03	2.416268e-03
1.570796e+00	1.633628e+00	1.603232e-01	2.439497e-03	2.439497e-03
